QID,LEN,Description or Summary,Start date,End date,Institutions/Partners,Affiliate/Organization,Region,Country,Main focal point,Main Activities,Wikimedia Projects Used,Audience,Level of Education,SDG4 Areas,Subject,Skills addressed,Funding,Evaluation,Case Study,Newsletter articles,Other documentation,Media,Number of pages created,Number of bytes added,Number of participants,Number of Influenced Policies
,Belgium Wikipedia editing,"A project aimed to raise awareness, provide the Wikipedia professional education platform for educators to work with, provide support for students to use Wikipedia as a learning tool",2015,2018,"VIVES Kortijk, Thomas More University College, Institut Sainte Marie Châtelet",Wikimedia Belgium,Western Europe,Belgium,DerekvG,Editing training,Wikipedia,"Students, teachers",Secondary,,,"Editing, writing, collaboration ",,No,No,No,,https://be.wikimedia.org/wiki/Wikiducation_Belgium/Project_plan,,,,
,Benelux Education Program,"Helpin educational institutions (such as universities, colleges and others) to make their knowledge and expertise available to the public via Wikipedia and Wikimedia. ",2011,2018,"Various higher education institutions in Belgium, Luxembourg and the Netherlands",Wikimedia Belgium and Wikimedia Nederland,Western Europe,"Belgium, Luxembourg, Netherlands","Romaine, Spinster & Geertivp",Editing training,Wikipedia,"Students, teachers, librarians ",Higher Education,,"History, science, media, ","Writing, editing, collaboration, research",,No,No,,https://en.wikipedia.org/wiki/Wikipedia:Benelux_Education_Program/University_of_Luxembourg,,,,,
,Teacher Training of trainers in Bolivia,"32 teachers were chosen from all over Bolivia were invited to be part of a three-day bootcamp. They attended different workshops, about how to use Internet in class. As part of these training teacher were helped to edit on Wikipedia and understand the inner workings of the Enciclopedia.",2013,2013,NGO FESA (Fundación Educacional San Agustín) CERES (Centro de Estudios de la realidad Económica y Social) ,Wikimedistas de Bolivia UG  ,South America,Bolivia,Erlan Vega (Alhen) Eliana Quiroz,Editing training,Wikipedia,Teachers ,"Primary, Secondary, Higher Education",,Education ,"Editing, teaching, presenting",NGO,No,No,No,"Spanish, but incomplete: http://bootcampformaciondeformadores.blogspot.com/ 
Contents: https://es.scribd.com/document/168776358/Proyecto-Wiki-Club-BootCamp-Formacion-de-formadores",https://outreach.wikimedia.org/wiki/Education/Countries/Bolivia,,,,
,Student editing and writing awareness in Botswana,Outreach across the country to encourage students to edit and write Wikipedia articles,2013,,,Wikimedia Community User Group Botswana,Southern Africa,Botswana,,Editing training,"Wikiversity, Wikipedia",Students,Primary  ,Mother language,"Culture, language, history","Editing, writing, presenting, collaboration",Ministry of Education; GLAM,No,No,No,,https://meta.wikimedia.org/wiki/Grants:IEG/Research:_GLAM_Institutions_support_educational_Programmes_in_Botswana,,,,
,Wikipédia na Universidade,"The purpose of the project is to encourage Brazilian students, teachers and universities to use Wikipedia as a teaching tool, training new Wikipedians, developing skills and competences, collaborative production of free knowledge, and mainly contributing to improving the quality of Wikipedia in Portuguese.",2011,2018,Various private and public higher education institutions,,South America,Brazil,Célio Costa Filho,"Editing training, content curation",Wikipedia,Students,Higher Education,Mother language,"Culture, language, history, science, media, education","Editing, writing, collaboration, digital literacy",,No,No,No,https://pt.wikipedia.org/wiki/Wikip%C3%A9dia:Wikip%C3%A9dia_na_Universidade/Cursos,https://pt.wikipedia.org/wiki/Wikip%C3%A9dia:Wikip%C3%A9dia_na_Universidade,,,,
,Wikipedia Education Program Bulgaria,"Introducing Wikipedia as a learning tool in university for various disciplines through public lecturers, workshops, assignments, and other activities.",2009,2018,"Sofia University, New Bulgarian University, University for National and World Economics, Plovdiv University, and others.",Wikimedians of Bulgaria,Eastern Europe,Bulgaria,"Spiritia, Maymay, Laveol",Research,"Wikipedia, Wikimedia Commons","Students, teachers",Higher Education,,"Art and Culture, Media Studies, Political Sciences, Intellectual Property, Computer Sciences","Editing, research, information literacy",,No,No,,https://outreach.wikimedia.org/wiki/Education/Countries/Bulgaria,,,,,
,Canadian non-English classes with the Wiki Education Foundation,Supports canadian classes in languages other than English,2012,,-,Wiki Education Foundation,North America,Canada,Helaine Blumenthal ,Wikipedia assignment,Wikipedia,Students,Higher Education,,"Language, culture, history, social sciences","Reading, writing, editing",Own non-profit - Wiki Education Foundation ,No,No,No,,https://en.wikipedia.org/wiki/Wikipedia:Wikipedia_Signpost/2014-07-09/Wikimedia_in_education,,,,
,Catalonian Wikimedia Content Production in Catalonia,"Operates several projects with Secondary School students, PhD students, teachers, and researchers with aims of improving media education and improve wikimedia content in Catalan",2007,2018,,Amical Wikimedia,Western Europe,Catalonia,Alex Hinojo,Editing training,Wikipedia,Students,"Secondary, Higher Education",,"Art, history, media, knowledge access, design, music","Reading, writing, editing",,No,No,,https://www.slideshare.net/paucabot/viquibalear-4728878,https://outreach.wikimedia.org/wiki/Education/Countries/Catalonia,,,,
,Wikipedia en la universidad - Chile ,Teaching university students how to edit on Wikipedia by including Wikipedia assignments in various courses to produce high quality articles.,2013,2017,Various private and public higher education institutions ,Wikimedia Chile,South America,Chile,Daniel Bravo,Editing training,Wikipedia,Students,Higher Education,Mother language  ,"Science, history, law, communication, technology ","Editing, writing",,No,No,No,"Spanish:
https://es.wikipedia.org/wiki/Wikipedia:Wikimedia_Chile/Wikipedia_en_la_Universidad",Spanish: http://impresa.elmercurio.com/Pages/NewsDetail.aspx?dt=2015-04-20&dtB=20-04-2015%200:00:00&PaginaId=10&bodyid=1,,,,
,Photo project and outreach in China,Outreach activities and photo project on Wikimedia Commons around philanthropist Sir Run Run Shaw as an opportunity to teach about his legacy,2015,2015,"Shanghai Jiaotong University, Dalian University of Technology",Wikimedia UG China,East Asia,China,Addis Wang; Wilson ye,Photo expedition,Wikimedia Commons,Students,Higher Education,,"Photography, art, editing","Photography, digital literacy",,No,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/May_2015/Chinese_students_commemorate_deceased_philanthropist_Run_Run_Shaw,,,,,,
,Studenti píší Wikipedii (Students write Wikipedia),Seeks collaboration with schools to help create and improve specialized Czech articles,2011,2018,"Universities in Prague, Olomouc and Brno, as well as in some other smaller cities in the Czech Republic",Wikimedia Czech Republic,Eastern Europe,Czech Republic,Vojtech Dostal,Editing training,Wikipedia,"Students, teachers","Secondary, Higher Education",Mother language   ,"History, culture, language","Writing, editing, collaboration, digital literacy",,https://meta.wikimedia.org/wiki/Learning_and_Evaluation/Archive/Share_Space/Wikipedia_Education_Program#Dominik_.28Czech_Republic.29,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/June_2014/Czech_senior_citizen_program_supported_by_a_WMF_grant,,Czech: https://www.novinky.cz/veda-skoly/414895-diky-tvorbe-encyklopedickych-hesel-jsou-na-sebe-studenti-prisnejsi.html,,,,
,Seniors Write Wikipedia,"Seniors Write Wikipedia is a project which started in 2013, involving seniors in Wikipedia. Courses are free of charge. Wikimedia Czech Republic has successfully organized more than 40 courses and we have had almost 400 participants from 14 towns and cities.",2013,,,Wikimedia Czech Republic,Eastern Europe,Czech Republic,Vojtech Dostal,Editing training,Wikipedia,Senior citizens,Lifelong learning,Mother language   ,,"Writing, editing, digital literacy",WMF APG,No,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/April_2017/Key_to_recruiting_seniors_as_Wikipedians_is_long-term_work,,"https://blog.wikimedia.org/2015/01/12/czech-senior-citizens-learn-to-edit/
http://seniorplanet.org/seniors-write-wikipedia/",,,,
,Uč (s) Wiki (Teach (with) Wiki),"Teach (with) Wiki is a program focusing on elementary and secondary school students, strengthening skills on media education, information literacy and digital literacy",2016,2018,"Scout Institute, South Elementary School in Mariánské Lázně",Wikimedia Czech Republic,Eastern Europe,Czech Republic,Vojtech Dostal,Editing training,Wikipedia,"Teachers, students","Primary, Secondary ","Mother language, education policy",Media ,"Writing, editing, collaboration, digital literacy, reading, critical thinking ",WMF APG,No,No,No,,Czech: https://cs.wikipedia.org/wiki/Wikipedie:U%C4%8D_(s)_Wiki#Kdy_a_kde_jste_o_projektu_mohli_sly%C5%A1et_na_%C5%BEivo?,,,,
,Wiki Project Brede Works,Program aimed to work with students and teachers to improve articles on industrialization,2013,2015," Ørestad Gymnasium, Det frie Gymnasium",Wikimedia Denmark,Northern Europe,Denmark,Finn Aup Nielsen,Editing training,Wikipedia,Students,Higher Education,,"History, culture, labor","Writing, editing, reading, researching",,,No,No,,https://www.slideshare.net/palnatoke/wikipedia-og-frie-licenser,,,,
,15 ECTS point Wikipedia course,"Course about Wikipedia at the Department of Media, Cognition and Communication (canceled)",2013,2013,University of Coppenhagen,Wikimedia Denmark,Northern Europe,Denmark,Nalle Kirkvåg,Editing training,Wikipedia,Students,Higher Education,,Media ,"Writing, editing, digital literacy",,No,No,No,https://kurser.ku.dk/course/hmea03174u/2013-2014,,,,,
,The Cairo Pilot,University professors and student volunteers expand local language literacy by editing and writing in Wikipedia articles in Egypt. Support for students and professors came from (Campus and Online) Ambassadors and on-site support from WMF staff. The pilot culminated in a conference to share learnings and celebrate success.,2012,2012,"Cairo University, Ain Shams University, Damanhour University",Egypt Wikimedians UG,Northern Africa,Egypt,Walaa Abdul-Monem,Editing training,Wikipedia,Students,Higher Education,Mother language  ,"Mathematics, political science, media, languages, theater","Writing, editing, collaboration, language, digital literacy",,https://outreach.wikimedia.org/wiki/Cairo_Pilot_%E2%80%93_final_report,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/August_2012/Cairo_Pilot_wraps_up_successfully_with_conference,,https://blog.wikimedia.org/2012/07/08/wikipedia-education-program-cairo-pilot-conference/,,,,
,Education program in universities - Estonia,"Promotion of Wikipedia in education, production of articles as course assignments, university courses around open culture and Wikipedia. Contributions in Estonian and Vöro languages.",2007,,"University of Tartu, Estonian Entrepreneurship University of Applied Sciences, Estonian Academy of Arts, Estonian University of Life Sciences, Tallinn University",Wikimedia Eesti,Eastern Europe,Estonia,Ivo Kruusamägi,Editing training,"Wikipedia, Wikimedia Commons",Students,Higher Education,Mother language,"History, science, art, computer science, geography, informatics, linguistics, psychology","Writing, editing, collaboration, language, digital literacy",,No,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/June_2016/An_online_elective_course_on_Wikipedia_for_high_school_pupils_in_Estonia,https://outreach.wikimedia.org/wiki/Education/Countries/Estonia#Work_in_universities,https://blog.wikimedia.org/2015/07/30/education-program-in-estonia/,,,,
,Wikipedia in schools - Estonia,"Exploring the use of Wikipedia among pupils and teachers, promoting its inclusion in teaching practices through a variety of lectures and practices.",2010,2011,15 schools across Estonia,Wikimedia Eesti,Eastern Europe,Estonia,Ivo Kruusamägi ,Editing training,Wikipedia,Students,Secondary,Mother language,,"Writing, editing",,No,No,No,https://et.wikipedia.org/wiki/Vikipeedia:Vikipeedia_koolides,https://blog.wikimedia.org/2015/07/30/education-program-in-estonia/,,,,
,Wikipedization of Research Writings of Secondary School Students,"Large scope pilot for the introduction of Wikipedia in secondary schools of Estonia. Supported by the Estonian Ministry of Education and Research, conducted in 6 schools through workshops and lectures. Re-structured to be an e-course for the 2016/2017 schoolyear (planned). ",2013,2014,Estonian Ministry of Education and Research,Wikimedia Eesti,Eastern Europe,Estonia,Teele Vaalma,"Editing training, research",Wikipedia,"Students, teachers",Secondary,"Mother language, education policy ",,"Writing, editing, research, critical thinking",,No,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/June_2016/An_online_elective_course_on_Wikipedia_for_high_school_pupils_in_Estonia,https://et.wikipedia.org/wiki/Vikipeedia:%C3%95pilasuurimuse_vikipediseerimine,,,,,
,"Environmental Awareness Project
",Raising environmental awareness through Estonian-language Wikipedia articles on environmental issues.,2014,2015,Estonian Environmental Investment Centre,Wikimedia Eesti,Eastern Europe,Estonia,Kaarel Vaidla,"Editing training, research",Wikipedia,Students,Secondary,Mother language,Environmental education,"Writing, editing, critical thinking, research",Estonian Environmental Investment Centre,No,No,No,https://et.wikipedia.org/wiki/Vikipeedia:Keskkonnateadlikkus,,,,,
,Tartu Art School image project,"Art students provide free images and pictures through an Wikimeida education program, focused on portraits and uploaded to Wikimedia Commons.",2014,2014,University of Tartu ,Wikimedia Eesti,Eastern Europe,Estonia,Kaarel Vaidla,Photo uploads,Wikimedia Commons,Students,Higher Education,,Art,Digital literacy,,No,No,No,"https://outreach.wikimedia.org/wiki/Education/Countries/Estonia#Image_projects
https://commons.wikimedia.org/wiki/Category:Tartupedia_images_from_Tartu_Art_School_project",,,,,
,Wikipedia editing for students in Finland,"It has 3 courses - computer science, design, and language - whereby students can opt out of certain assignments and instead contribute to Wikipedia articles and by creating quality information graphics to add to articles.",2014,2018,"University of Helsinki Department of Computer Science, Aalto University Information Design course, University of Helsinki",Wikimedia Suomi,Northern Europe,Finland,Teemu Perhiö,Editing training,"Wikipedia, Wikimedia Commons",Students,Higher Education,Mother language,"Science, computer science, design","Writing, research, translating, editing, digital literacy",University Helsinki and Alto,No,No,No,,"http://informaatiomuotoilu.fi/2012/03/student-works-from-our-course-part-i/
",,,,
,Wikipédia en classe,,2012,2015,,Wikimedia France,Western Europe,France,Mathieu Denel,editing training,Wikipedia,,All,,,,,No,No,https://outreach.wikimedia.org/wiki/Education/Newsletter/December_2015/A_portal_for_teachers_and_education_institutions_on_the_French_Wikipedia,"https://outreach.wikimedia.org/wiki/File:Livret_Wikip%C3%A9dia_en_classe_-_Wikim%C3%A9dia_France.pdf
https://outreach.wikimedia.org/wiki/Education/Countries/France
https://fr.wikipedia.org/wiki/Wikip%C3%A9dia:Projets_p%C3%A9dagogiques",,,,,
,Wikiconcours lycéen,WM France coordinated a national editing competition for high school students in partnership with the Ministry of Education with the objective for students to contribute to Wikipedia while learning important information literacy skills. ,2013,,,Wikimedia France,Western Europe,France,Mathieu Denel,student editing ,Wikipedia,students,Secondary ,,,information literacy,,,,,"https://fr.wikipedia.org/wiki/Projet:Wikiconcours_lyc%C3%A9en
https://www.nouvelobs.com/rue89/rue89-nos-vies-connectees/20150601.RUE9284/les-lyceens-ne-font-pas-que-pomper-wikipedia-ils-y-contribuent-aussi.html
https://www.lanouvellerepublique.fr/actu/les-eleves-devraient-utiliser-wikipedia
https://www.leberry.fr/bourges/education/2017/05/29/les-eleves-du-lycee-jacques-cur-seront-ils-les-gagnants-du-wikiconcours_12421372.html
",,,,,
,WM France Education Outreach,WM France secured a partnership with the Ministry of Education to raise awareness of using hte Wikimedia projects in education. ,2014,2019,The General Directorate of School Education,Wikimedia France,Western Europe,France,Mathieu Denel,partnerships,,policy makers,,,,,,,,https://outreach.wikimedia.org/wiki/Education/Newsletter/November_2014/Wikimedia_France_obtains_an_agreement_from_the_French_Ministry_of_Education,,,,,,
,Wikiconcours lycéen (WCL),"To use Wikipedia and its ways of working to develop disciplinary informational skills in students linked to the mastery of information and communication technologies. It is named ""Wikiconcours"" because it's a contest of internal contribution to Wikipedia.",2012,,Various high schools in the country,Wikimedia France,Western Europe,France,Mathieu Denel,student editing ,Wikipedia,,Secondary school,,,"reading, writing, research, editing",,,,,https://fr.wikipedia.org/wiki/Projet:Wikiconcours_lyc%C3%A9en,"https://www.lanouvellerepublique.fr/actu/les-eleves-devraient-utiliser-wikipedia, https://www.ouest-france.fr/bretagne/brest-29200/brest-des-lyceens-laureats-du-concours-national-wikipedia-5788521",,,,
,Valoriser ses connaissances avec Wikipédia,"The goal is to guide PhD students or young researchers during their contributions, to know how to create and spread content on Wikipedia and Wikimedia Commons.",2009,2018, Lille Nord University of France,Wikimedia France,Western Europe,France,Nathalie Martin,"research, student editing","Wikipedia, Wikimedia Commons",,Higher Education,,,"Writing, research, editing",,,,,https://fr.wikipedia.org/wiki/Projet:Valoriser_ses_connaissances_avec_Wikip%C3%A9dia,,,,,
,Writing and editing in France - free scholar diary,"The specific modus operandi of Wikipedia is its main strength for educational approach in media education. Nature of the sources, cross-checking of these sources, synthesis and critical thinking etc. Wikipedia is an ideal tool for addressing innovative concepts essential to research, consultation and information processing on the Internet. It is therefore important to bring the professionals of education to a better understanding of this encyclopedic project and its appropriation for its use in the classroom. It is for these reasons that Wikimédia France is counselling the professionals of education in using Wikipedia's contents and enriching them. Improve Wikimedia contents by educational projects : teachers and researchers in charge of courses train their students and Secondary School students to create new quality contents.",2011,2015,,Wikimedia France,Western Europe,France,Nathalie Martin,Student writing,Wikipedia,,Secondary and primary,infrastructure,,"reading, writing, research, translating, editing",,,,,,,,,,
,Free education alliance,"The Free Education Alliance unites organizations, institutions and individuals who promote open education, open educational resources, open practices and open licensing in education.",2015,ongoing,https://buendnis-freie-bildung.de/#mitglieder,Wikimedia Deutschland,Western Europe,Germany,info@buendnis-freie-bildung.de,Advocacy,,,All,"infrastructure, mother language literacy",,"reading, writing, research, translating, editing",None,no,no,no,"Positionpaper: 
https://drive.google.com/open?id=1zJqe6Z91cFq2w1nM6RLEYw06ZeeAILwkcgx1bBR6H7I","https://twitter.com/B_Freie_Bildung
https://buendnis-freie-bildung.de/",,,,
,Open Science Fellows Program,"The program promotes opening up research and teaching in accordance with the principles of open science, a movement that enables researchers and society as a whole to access scientific research findings. The goal is to support scientists in making their own research more accessible.",2010,2018,-,Wikimedia Deutschland,Western Europe,Germany,bildung@wikimedia.de,Student Training,"Wikipedia, Wikidata and Wikiversity","doctoral students (m/f), post-docs (m/f), and junior professors (m/f)",Higher Education,"infrastructure, teacher motivation",,"reading, writing, research, translating, editing",Stifterverband and Volkswagen Foundation,Yes,,,,https://en.wikiversity.org/wiki/Wikimedia_Deutschland/Open_Science_Fellows_Program,,,,
,Cultural hackathon in Germany - Coding Da Vinci,"Coding da Vinci - The culture hackathon is a joint project of the German Digital Library, the Research and Competence Center Digitization Berlin (digiS), the Open Knowledge Foundation Germany and Wikimedia Germany.",2010,2018,"German Digital Library, Research and Competence Center Digitization Berlin (digiS), Open Knowledge Foundation Germany",Wikimedia Deutschland,Western Europe,Germany,bildung@wikimedia.de,,,,All,Infrastructure,,"reading, writing, research, translating, editing",None,,,,,,,,,
,Editing and writing articles in schools in Ghana - Open Foundation Western Africa,Offers campus based clubs and courses that teaches that about the movement and about how to write and edit articles,,2018,,Open Foundation West Africe,Western Africa,Ghana,Felix Nartey and Raphael Berchie,,Wikipedia,,Higher Education,infrastructure,,"reading, writing, research, translating, editing",None,,,,,https://www.facebook.com/ashesiwiki/,,,,
,Editng and translating in Ghana,"Focuses on editing and writing wikipedia pages, as well as translating pages for university students",,2018,,Wikimedia Ghana UG,Western Africa,Ghana,Justice and Mohammed Sadat Abdulai,,Wikipedia,,Higher Education,"infrastructure, mother language literacy",,"reading, writing, research, translating, editing",None,,,,,,,,,
,Education Outreach Presentation,Assisting law school staff to make English Wikipedia a  part of Educational curriculum,2017,2017,Gimpa Law School,Wikimedia Ghana UG,Western Africa,Ghana,Justice Okai-Allotey,Student editing training,Wikipedia,,Higher Education,,Law,"Editing, Awareness",WMF,,No,,https://meta.wikimedia.org/wiki/Grants:TPS/TPS/Owulakpakpo/Wikipedia_Presentation_Gimpa_Law_School/Report,,,,,
,Wikipedia Club GIJ,recruiting and training students to contribute to Wikipedia,2017,2017,Ghana Institute of Journalism,Wikimedia Ghana UG,Western Africa,Ghana,Sandister Tei,Student editing training,Wikipedia,,Higher Education,infrastructure,Journalism and general topics,"Editing, Training, Mentorship",,,No,,https://meta.wikimedia.org/wiki/Wikimedia_Ghana_User_Group/Wikipedia_Club_GIJ,,,,,
,French School Education Activity,"Training Educators and students, and to also improve English Wikipedia article",,,French School,Wikimedia Ghana UG,Western Africa,Ghana,Sandister Tei,Student editing training,Wikipedia,,Secondary School,"infrastructure, teacher motivation",,"Leadership, Training ",,,No,,,,,,,
,Student editors training in Greece,26 8 year old kids create Wikipedia pages,,2017,,,Southeastern Europe,Greece,Manos Kafalas,Student editing training,Wikipedia,,Primary,infrastructure,"History, culture","editing, training, mentorship",,,,https://outreach.wikimedia.org/wiki/Education/News/July_2017/A_class_of_26_8-year-old_Wikipedia_article_creators,,,,,,
,Wikipedia Education Program - Hang Seng Management College,Focuses on introducing university students to WIkipedia and working with them to write and edit pages (focused primarily on linguistics),2015,2015,Hang Seng Management College,Wikimedia Hong Kong,East Asia,Hong Kong,Venus Lui,,Wikipedia,,Higher Education,,,"reading, writing, research, translating, editing",Hang Seng Management College,No,No,No,,https://outreach.wikimedia.org/wiki/Education/Newsletter/June_2015/The_First_Wikipedia_Education_Program_in_Hong_Kong,,,,
,Edit-a-thons and workshops in Hungary - ELTE,"Focuses on workshops, edit-a-thons, and partnership across secondary schools and universities",2012,2015,Eötvös Loránd University (ELTE),Wikimedia Hungary,Central Europe,Hungary,Wikimédia Magyarország (Wikimedia Hungary),Student editing; teacher editing,Wikipedia,,Secondary and University,infrastructure,,"reading, writing, research",None,No,,,,,,,,
,Christ University Education Program,Involving students of University in different semester to teach them digital skills with the help of Wikimedia projects.,2013,,Christ University Education ,CIS-A2K,South-Asia,India,Ananth Subray,"Student editing training, assignment, teachers training","Wikipedia, Commons, Wikisource, Wikidata",,Higher Education,infrastructure; mother language literacy,"Pedagogy, Science, Health etc.","Editing, collaboration, digitisation, leadership",WMF/CIS-A2K,,No,,,,,,,
,"India Education Program, Pune",,,,,"Wikimedia Foundation, India Program",South-Asia,India, Subhashish Panigrahi,Student editing training,Wikipedia,,Higher Education,,-,"Editing, training",WMF ,,No,,,,,,,
